N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"60,900",0,0.00%,100,"3,635,598","5,969,783",56.18,"15,440,140",19.06,8.69,
2,SK하이닉스,"83,800","1,400",-1.64%,"5,000","610,066","728,002",49.05,"4,911,789",26.69,4.25,
3,NAVER,"297,500","7,500",+2.59%,100,"488,684","164,263",55.75,"639,452",69.35,10.56,
4,삼성바이오로직스,"688,000","6,000",+0.88%,"2,500","455,215","66,165",10.14,"46,039",132.54,4.77,
5,삼성전자우,"53,200",100,-0.19%,100,"437,776","822,887",86.72,"1,720,580",16.65,N/A,
6,LG화학,"617,000","4,000",-0.64%,"5,000","435,555","70,592",38.26,"237,342",106.36,1.84,
7,현대차,"165,500","2,000",-1.19%,"5,000","353,621","213,668",31.05,"1,739,174",23.85,4.32,
8,셀트리온,"244,000","1,500",-0.61%,"1,000","329,385","134,994",20.61,"608,386",82.29,11.19,
9,카카오,"353,500","1,000",+0.28%,500,"311,956","88,248",31.99,"509,730",-202.00,-5.81,
10,삼성SDI,"433,000",500,+0.12%,"5,000","297,750","68,765",42.00,"238,096",159.07,2.94,
11,LG생활건강,"1,551,000","4,000",+0.26%,"5,000","242,238","15,618",45.50,"20,453",35.37,20.32,
12,현대모비스,"231,500","6,000",-2.53%,"5,000","220,052","95,055",43.32,"475,310",12.61,7.28,
13,삼성물산,"104,000","1,500",+1.46%,100,"194,363","186,887",13.98,"206,612",18.17,4.77,
14,SK텔레콤,"238,000","5,000",+2.15%,500,"192,175","80,746",35.39,"207,442",19.53,3.92,
15,기아차,"45,450","1,400",-2.99%,"5,000","184,238","405,363",38.53,"2,297,941",17.31,6.50,
16,POSCO,"207,000",500,+0.24%,"5,000","180,477","87,187",51.08,"248,916",19.68,4.18,
17,엔씨소프트,"809,000","15,000",+1.89%,500,"177,608","21,954",48.96,"107,862",34.07,14.72,
18,KB금융,"41,450",700,+1.72%,"5,000","172,352","415,808",65.69,"2,122,212",5.42,8.92,
19,신한지주,"29,200",200,+0.69%,"5,000","150,826","516,527",54.30,"2,871,604",4.39,9.09,
20,LG전자,"90,400",300,-0.33%,"5,000","147,938","163,648",35.33,"498,868",36.28,0.22,
21,SK,"201,000","3,500",+1.77%,200,"141,424","70,360",21.92,"145,324",-387.28,4.31,
22,한국전력,"21,750",750,+3.57%,"5,000","139,627","641,964",17.45,"3,969,289",-15.16,-3.42,
23,삼성에스디에스,"175,500",500,-0.28%,500,"135,798","77,378",12.14,"115,079",26.05,11.76,
24,SK이노베이션,"138,500","2,000",-1.42%,"5,000","128,065","92,466",23.76,"308,188",-5.67,-0.20,
25,SK바이오팜,"161,500","6,500",+4.19%,500,"126,476","78,313",2.43,"439,171",-146.82,-313.66,
26,LG,"72,400",200,+0.28%,"5,000","124,931","172,557",34.77,"183,435",15.45,5.87,
27,삼성생명,"61,200",900,+1.49%,500,"122,400","200,000",12.43,"308,764",13.61,3.26,
28,KT&G,"83,900",800,+0.96%,"5,000","115,188","137,292",41.80,"235,381",11.22,12.39,
29,넷마블,"133,000","2,500",-1.85%,100,"114,171","85,843",22.74,"379,484",55.03,3.54,
30,삼성전기,"140,500","1,500",-1.06%,"5,000","104,945","74,694",33.12,"264,451",43.24,10.18,
31,아모레퍼시픽,"167,000","1,500",-0.89%,500,"97,626","58,458",30.45,"238,798",83.96,5.36,
32,하나금융지주,"31,400","1,000",+3.29%,"5,000","94,276","300,242",63.57,"1,938,427",3.72,8.77,
33,삼성화재,"185,500",500,-0.27%,500,"87,880","47,375",46.83,"121,590",14.18,4.85,
34,롯데케미칼,"241,500","5,000",+2.11%,"5,000","82,775","34,275",28.53,"304,333",46.08,5.51,
35,한화솔루션,"47,500","4,300",+9.95%,"5,000","75,936","159,864",19.79,"8,955,122",-45.85,-4.02,
36,현대글로비스,"200,500","1,000",+0.50%,500,"75,188","37,500",35.98,"854,650",13.66,11.25,
37,신풍제약,"135,500","10,000",+7.97%,500,"71,795","52,985",9.60,"3,408,908","4,106.06",0.80,
38,고려아연,"370,500",0,0.00%,"5,000","69,913","18,870",23.56,"38,041",12.71,9.76,
39,한온시스템,"12,550",300,+2.45%,100,"66,992","533,800",20.71,"414,321",40.22,14.98,
40,S-Oil,"58,200","1,300",+2.28%,"2,500","65,523","112,583",73.68,"303,334",-8.00,1.01,
41,우리금융지주,"8,700",130,+1.52%,"5,000","62,837","722,268",25.86,"1,727,131",4.59,N/A,
42,기업은행,"8,280",70,+0.85%,"5,000","61,161","738,664",10.72,"1,812,199",3.96,7.36,
43,빅히트,"179,000","3,500",-1.92%,500,"60,585","33,846",3.18,"1,601,984",N/A,56.47,
44,KT,"23,100",50,+0.22%,"5,000","60,317","261,112",44.71,"755,181",10.07,4.61,
45,CJ제일제당,"388,000","1,500",+0.39%,"5,000","58,410","15,054",23.50,"27,519",9.77,3.16,
46,한국조선해양,"81,100","1,000",+1.25%,"5,000","57,397","70,773",15.57,"101,614",54.54,1.40,
47,LG디스플레이,"15,800",50,+0.32%,"5,000","56,535","357,816",22.18,"1,269,907",-1.94,-22.35,
48,미래에셋대우,"8,660",120,+1.41%,"5,000","55,884","645,316",13.98,"1,351,803",10.31,7.56,
49,코웨이,"75,700","1,700",-2.20%,500,"55,866","73,800",61.14,"271,087",15.91,30.74,
50,LG유플러스,"11,650",100,-0.85%,"5,000","50,865","436,611",31.23,"1,453,594",10.17,6.30,
